age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
42,1,4,-9,2,0,2,1,15,1
52,2,3,-9,2,1,2,2,15,1
33,1,2,-9,1,1,2,1,15,1
67,1,1,-9,2,1,12,1,14,-9
39,2,3,-9,2,0,1,1,15,1
65,2,1,-9,1,0,12,1,15,-9
66,1,2,-9,2,0,12,1,15,-9
68,1,3,-9,2,0,12,1,13,-9
18,2,5,2,1,0,13,6,14,1
54,1,5,1,2,1,2,4,16,2
22,1,2,-9,1,0,2,12,15,1
44,1,2,-9,2,0,2,1,15,1
80,1,2,-9,2,2,12,1,15,-9
23,1,3,-9,1,0,2,1,15,1
28,1,3,-9,1,1,2,1,14,2
24,2,3,-9,1,1,2,1,15,1
66,1,1,-9,1,0,12,1,10,-9
25,1,5,1,1,0,2,11,11,4
27,2,2,2,2,1,2,7,16,3
30,2,3,-9,2,0,2,9,15,1
39,2,2,-9,2,0,14,9,15,1
32,1,2,1,1,0,2,4,15,1
31,2,2,-9,1,1,1,1,15,1
68,1,1,-9,5,0,12,1,15,-9
80,1,2,-9,2,1,12,1,12,-9
40,1,5,-9,2,2,2,10,15,1
25,2,1,1,1,1,5,18,15,2
59,1,3,-9,2,1,2,13,16,4
43,2,5,-9,2,1,14,4,15,4
27,2,3,-9,1,0,2,2,15,1
33,2,2,-9,1,0,2,18,15,1
37,1,3,-9,1,1,1,1,15,2
6,1,5,2,1,1,-9,17,-9,-9
3,1,5,-9,1,2,-9,1,-9,-9
57,2,1,-9,5,0,2,1,11,2
62,1,2,-9,2,1,2,1,12,1
23,2,3,3,2,0,7,11,16,2
19,2,2,-9,1,0,14,1,11,4
33,2,1,-9,1,1,2,1,15,1
28,1,2,-9,1,1,2,7,15,1
18,1,5,-9,1,2,13,7,12,2
1,2,4,-9,1,1,-9,1,-9,-9
6,2,3,-9,1,0,-9,13,-9,-9
42,1,4,-9,1,1,4,1,14,2
25,1,3,-9,1,0,2,9,15,1
33,2,2,-9,2,0,2,4,11,2
56,2,2,-9,2,0,6,4,16,2
56,1,4,-9,2,3,5,1,15,1
31,1,1,-9,1,0,2,9,15,1
25,2,2,-9,1,0,2,1,15,2
39,2,2,2,5,1,8,4,15,2
6,1,4,-9,1,1,-9,-9,-9,-9
46,1,4,-9,2,1,6,1,12,3
42,1,2,-9,1,0,2,4,15,2
39,1,5,-9,2,1,2,1,15,2
40,2,2,-9,2,1,13,12,15,2
3,1,4,-9,1,1,-9,4,-9,-9
56,1,2,-9,5,1,6,2,13,3
38,2,2,3,4,0,14,16,16,4
36,1,2,-9,1,1,1,4,15,1
58,1,1,-9,1,0,12,1,15,1
29,1,4,1,1,0,2,13,15,1
30,2,4,-9,1,0,2,1,15,1
22,1,4,-9,1,0,13,4,14,2
45,2,3,3,2,0,14,11,16,4
55,1,1,-9,1,0,1,2,15,1
3,1,4,3,1,0,-9,15,-9,-9
75,1,1,2,4,0,12,4,15,-9
53,2,2,-9,2,0,2,6,10,4
18,2,2,-9,1,0,13,4,14,2
70,1,3,-9,1,0,2,12,15,-9
42,2,7,3,2,1,2,14,10,3
63,2,1,-9,1,0,1,1,10,2
70,1,1,-9,1,0,12,4,15,-9
20,2,3,-9,1,0,13,1,12,2
48,1,1,-9,1,0,2,1,15,1
75,1,1,-9,6,1,12,12,15,-9
42,1,1,-9,1,1,2,1,15,1
30,1,2,-9,1,1,2,1,15,1
33,2,2,-9,2,0,2,9,15,1
0,2,3,-9,1,1,-9,4,-9,-9
8,1,5,-9,1,2,-9,1,-9,-9
75,1,1,-9,1,0,12,1,10,-9
30,1,1,-9,1,1,2,4,15,1
0,1,3,1,1,1,-9,14,-9,-9
75,1,2,-9,6,1,12,1,14,-9
20,2,3,1,1,0,13,1,14,2
37,2,5,3,2,1,7,1,15,1
