CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,AB(16-64),C1(16-64),C2(16-64),DE(16-64)
60516,E00000001,E00000001,Output Areas and Small Areas,OASA,91,29,2,0
60517,E00000003,E00000003,Output Areas and Small Areas,OASA,136,41,0,4
60518,E00000005,E00000005,Output Areas and Small Areas,OASA,190,56,13,12
60519,E00000007,E00000007,Output Areas and Small Areas,OASA,77,30,3,0
60520,E00000010,E00000010,Output Areas and Small Areas,OASA,31,31,4,13
60521,E00000012,E00000012,Output Areas and Small Areas,OASA,59,50,13,20
60522,E00000013,E00000013,Output Areas and Small Areas,OASA,64,29,4,5
60523,E00000014,E00000014,Output Areas and Small Areas,OASA,46,41,8,16
60524,E00000016,E00000016,Output Areas and Small Areas,OASA,146,66,7,3
60525,E00000017,E00000017,Output Areas and Small Areas,OASA,138,36,9,3
60526,E00000018,E00000018,Output Areas and Small Areas,OASA,114,38,2,2
60527,E00000019,E00000019,Output Areas and Small Areas,OASA,77,19,0,3
60528,E00000020,E00000020,Output Areas and Small Areas,OASA,113,28,5,5
60529,E00000021,E00000021,Output Areas and Small Areas,OASA,149,55,2,4
60530,E00000022,E00000022,Output Areas and Small Areas,OASA,75,41,12,35
60531,E00000023,E00000023,Output Areas and Small Areas,OASA,42,39,8,15
60532,E00000024,E00000024,Output Areas and Small Areas,OASA,118,63,12,8
60533,E00000025,E00000025,Output Areas and Small Areas,OASA,191,64,6,13
60534,E00000026,E00000026,Output Areas and Small Areas,OASA,157,57,8,1
60535,E00000027,E00000027,Output Areas and Small Areas,OASA,223,77,11,6
60536,E00000028,E00000028,Output Areas and Small Areas,OASA,81,44,1,1
60537,E00000029,E00000029,Output Areas and Small Areas,OASA,63,49,16,42
60538,E00000030,E00000030,Output Areas and Small Areas,OASA,48,66,32,34
60539,E00000031,E00000031,Output Areas and Small Areas,OASA,14,38,26,13
60540,E00000032,E00000032,Output Areas and Small Areas,OASA,22,55,36,140
60541,E00000035,E00000035,Output Areas and Small Areas,OASA,147,58,8,2
64554,E00004120,E00004120,Output Areas and Small Areas,OASA,117,75,4,15
