CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Total,White-British,White-Irish,White-Gypsy or Irish Traveller, White-Other White,Mixed-White and Black Caribbean,Mixed-White and Black African,Mixed-White and Asian,Mixed-Other Mixed,Asian-Indian,Asian-Pakistani ,Asian-Bangladeshi,Asian-Chinese,Asian-Other Asian,Black-African,Black-Caribbean,Black-Other Black,Other-Arab ,Other-Any other ethnic group
50,E13000001,Inner London,Counties,CNTY,3231901,1240266,75165,3055,534723,56900,32203,42114,58531,109933,59890,163838,65983,115549,276513,173959,89709,50821,82749
60516,E00000001,E00000001,Output Areas and Small Areas,OASA,194,150,7,0,18,3,0,4,3,2,0,0,4,0,0,0,0,0,3
60517,E00000003,E00000003,Output Areas and Small Areas,OASA,250,177,2,1,26,0,1,7,1,17,0,3,3,3,3,0,0,0,6
60518,E00000005,E00000005,Output Areas and Small Areas,OASA,367,254,14,0,53,0,2,5,5,9,1,0,10,5,2,0,2,0,5
60519,E00000007,E00000007,Output Areas and Small Areas,OASA,123,55,0,0,40,0,0,2,0,4,2,0,10,4,0,0,0,0,6
60520,E00000010,E00000010,Output Areas and Small Areas,OASA,102,62,3,0,15,0,0,1,2,2,1,3,5,1,0,4,1,2,0
60521,E00000012,E00000012,Output Areas and Small Areas,OASA,213,137,6,0,30,1,0,1,2,5,0,0,3,13,6,2,2,1,4
60522,E00000013,E00000013,Output Areas and Small Areas,OASA,216,136,6,0,36,1,0,1,1,7,1,1,7,7,7,2,1,1,1
60523,E00000014,E00000014,Output Areas and Small Areas,OASA,154,98,7,0,18,1,2,0,2,3,1,0,6,5,3,2,3,3,0
60524,E00000016,E00000016,Output Areas and Small Areas,OASA,281,199,9,0,42,1,4,6,2,5,0,0,7,3,0,0,0,2,1
60525,E00000017,E00000017,Output Areas and Small Areas,OASA,290,203,7,0,47,0,0,9,5,7,0,0,7,4,0,0,0,0,1
60526,E00000018,E00000018,Output Areas and Small Areas,OASA,218,173,1,0,31,0,0,2,0,5,0,0,4,2,0,0,0,0,0
60527,E00000019,E00000019,Output Areas and Small Areas,OASA,139,96,2,0,24,0,0,2,4,5,0,0,0,3,0,1,0,0,2
60528,E00000020,E00000020,Output Areas and Small Areas,OASA,226,161,2,0,30,0,5,1,7,3,0,0,9,5,0,1,0,0,2
60529,E00000021,E00000021,Output Areas and Small Areas,OASA,282,192,7,0,48,1,0,2,3,5,0,0,10,11,0,1,1,1,0
60530,E00000022,E00000022,Output Areas and Small Areas,OASA,223,130,4,0,31,2,0,5,11,5,1,0,3,20,1,3,1,5,1
60531,E00000023,E00000023,Output Areas and Small Areas,OASA,183,116,6,0,26,1,0,1,5,7,2,5,2,7,2,0,0,1,2
60532,E00000024,E00000024,Output Areas and Small Areas,OASA,276,169,3,0,57,2,2,4,0,11,2,0,9,9,0,0,2,6,0
60533,E00000025,E00000025,Output Areas and Small Areas,OASA,320,212,10,0,63,1,1,4,3,2,0,0,16,4,1,0,1,2,0
60534,E00000026,E00000026,Output Areas and Small Areas,OASA,270,119,8,0,94,0,1,7,1,6,0,0,14,9,5,1,0,4,1
60535,E00000027,E00000027,Output Areas and Small Areas,OASA,358,188,15,0,90,2,1,2,4,10,0,1,19,9,8,2,1,1,5
60536,E00000028,E00000028,Output Areas and Small Areas,OASA,151,76,0,0,38,1,0,1,1,1,1,0,19,2,0,1,4,4,2
60537,E00000029,E00000029,Output Areas and Small Areas,OASA,225,91,4,0,38,4,3,6,1,6,0,31,15,4,2,0,5,5,10
60538,E00000030,E00000030,Output Areas and Small Areas,OASA,254,133,4,0,46,4,1,1,1,0,0,19,0,9,12,11,3,8,2
60539,E00000031,E00000031,Output Areas and Small Areas,OASA,137,60,2,0,24,5,3,3,5,3,0,7,1,7,1,3,2,8,3
60540,E00000032,E00000032,Output Areas and Small Areas,OASA,369,74,6,1,23,3,7,4,8,7,0,159,3,3,37,9,15,4,6
60541,E00000035,E00000035,Output Areas and Small Areas,OASA,227,95,13,0,65,0,1,4,3,11,1,1,10,13,2,0,0,2,6
