CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F1877,F1878,F1879,F1880,F1881,F1882,F1883,F1884
,,,,,1,2,3,4,5,6,7,8+
60516,E00000001,E00000001,Output Areas and Small Areas,OASA,35,44,10,9,1,0,0,0
60517,E00000003,E00000003,Output Areas and Small Areas,OASA,31,46,19,11,4,1,0,0
60518,E00000005,E00000005,Output Areas and Small Areas,OASA,109,79,19,8,1,1,0,0
60519,E00000007,E00000007,Output Areas and Small Areas,OASA,53,23,5,1,1,0,0,0
60520,E00000010,E00000010,Output Areas and Small Areas,OASA,60,13,4,1,0,0,0,0
60521,E00000012,E00000012,Output Areas and Small Areas,OASA,76,48,11,2,0,0,0,0
60522,E00000013,E00000013,Output Areas and Small Areas,OASA,64,29,2,1,0,0,0,0
60523,E00000014,E00000014,Output Areas and Small Areas,OASA,113,16,3,0,0,0,0,0
60524,E00000016,E00000016,Output Areas and Small Areas,OASA,103,62,14,3,0,0,0,0
60525,E00000017,E00000017,Output Areas and Small Areas,OASA,60,44,16,17,4,1,0,0
60526,E00000018,E00000018,Output Areas and Small Areas,OASA,55,48,11,7,0,1,0,0
60527,E00000019,E00000019,Output Areas and Small Areas,OASA,47,28,5,4,1,0,0,0
60528,E00000020,E00000020,Output Areas and Small Areas,OASA,57,47,15,5,2,0,0,0
60529,E00000021,E00000021,Output Areas and Small Areas,OASA,96,56,10,11,0,0,0,0
60530,E00000022,E00000022,Output Areas and Small Areas,OASA,43,34,24,6,2,1,0,0
60531,E00000023,E00000023,Output Areas and Small Areas,OASA,39,27,20,3,0,1,0,0
60532,E00000024,E00000024,Output Areas and Small Areas,OASA,86,44,10,4,3,0,0,0
60533,E00000025,E00000025,Output Areas and Small Areas,OASA,140,63,12,3,0,1,0,0
60534,E00000026,E00000026,Output Areas and Small Areas,OASA,98,56,6,3,0,0,0,0
60535,E00000027,E00000027,Output Areas and Small Areas,OASA,141,67,13,6,0,0,0,0
60536,E00000028,E00000028,Output Areas and Small Areas,OASA,78,27,3,1,0,1,0,0
60537,E00000029,E00000029,Output Areas and Small Areas,OASA,72,34,8,8,2,2,1,0
60538,E00000030,E00000030,Output Areas and Small Areas,OASA,61,23,21,13,4,2,0,0
60539,E00000031,E00000031,Output Areas and Small Areas,OASA,40,22,7,8,0,0,0,0
60540,E00000032,E00000032,Output Areas and Small Areas,OASA,55,29,21,10,9,5,5,5
60541,E00000035,E00000035,Output Areas and Small Areas,OASA,89,51,7,2,0,0,1,0
64554,E00004120,E00004120,Output Areas and Small Areas,OASA,52,58,16,16,0,1,0,0
64555,E00004121,E00004121,Output Areas and Small Areas,OASA,42,43,13,17,3,0,0,0
64556,E00004122,E00004122,Output Areas and Small Areas,OASA,40,26,14,15,6,2,0,0
64557,E00004123,E00004123,Output Areas and Small Areas,OASA,20,32,21,26,9,0,0,0
64558,E00004124,E00004124,Output Areas and Small Areas,OASA,62,16,11,8,1,2,0,0
64559,E00004125,E00004125,Output Areas and Small Areas,OASA,119,36,16,6,1,0,0,0
64560,E00004126,E00004126,Output Areas and Small Areas,OASA,65,48,19,4,8,0,0,0
64561,E00004127,E00004127,Output Areas and Small Areas,OASA,43,44,23,9,3,1,0,1
64562,E00004128,E00004128,Output Areas and Small Areas,OASA,80,53,9,16,2,1,0,0
64563,E00004129,E00004129,Output Areas and Small Areas,OASA,56,62,16,4,3,1,0,0
64564,E00004130,E00004130,Output Areas and Small Areas,OASA,59,35,14,9,7,2,2,0
64565,E00004131,E00004131,Output Areas and Small Areas,OASA,41,38,13,12,14,1,0,0
64566,E00004132,E00004132,Output Areas and Small Areas,OASA,32,34,11,12,3,0,0,0
64567,E00004133,E00004133,Output Areas and Small Areas,OASA,51,27,20,14,3,2,1,0
64568,E00004134,E00004134,Output Areas and Small Areas,OASA,51,28,7,11,2,1,0,0
64569,E00004135,E00004135,Output Areas and Small Areas,OASA,74,26,3,2,0,0,0,0
64570,E00004136,E00004136,Output Areas and Small Areas,OASA,47,34,12,12,2,2,1,0
64571,E00004137,E00004137,Output Areas and Small Areas,OASA,74,47,9,9,7,1,0,0
64572,E00004138,E00004138,Output Areas and Small Areas,OASA,88,36,8,9,1,0,0,0
64573,E00004139,E00004139,Output Areas and Small Areas,OASA,22,62,42,10,3,1,0,0
64574,E00004140,E00004140,Output Areas and Small Areas,OASA,49,42,11,5,4,0,0,0
64575,E00004141,E00004141,Output Areas and Small Areas,OASA,64,34,8,8,0,0,0,0
64576,E00004142,E00004142,Output Areas and Small Areas,OASA,76,28,17,6,6,0,0,0
64577,E00004143,E00004143,Output Areas and Small Areas,OASA,58,42,13,7,3,3,0,0
64578,E00004144,E00004144,Output Areas and Small Areas,OASA,31,34,20,14,3,0,0,0
64579,E00004145,E00004145,Output Areas and Small Areas,OASA,48,40,11,9,1,1,0,0
64580,E00004146,E00004146,Output Areas and Small Areas,OASA,57,45,8,8,5,2,0,1
64581,E00004147,E00004147,Output Areas and Small Areas,OASA,58,49,10,6,3,0,0,0
64582,E00004148,E00004148,Output Areas and Small Areas,OASA,71,13,15,4,1,2,0,0
64583,E00004149,E00004149,Output Areas and Small Areas,OASA,53,50,23,20,3,0,0,0
64584,E00004150,E00004150,Output Areas and Small Areas,OASA,56,43,32,14,2,0,0,0
64585,E00004151,E00004151,Output Areas and Small Areas,OASA,71,53,15,7,1,1,0,0
64586,E00004152,E00004152,Output Areas and Small Areas,OASA,51,28,12,13,7,1,1,0
64587,E00004153,E00004153,Output Areas and Small Areas,OASA,51,37,8,8,3,0,0,1
64588,E00004154,E00004154,Output Areas and Small Areas,OASA,48,42,16,5,11,0,0,0
64589,E00004155,E00004155,Output Areas and Small Areas,OASA,33,26,22,13,7,2,0,0
64590,E00004156,E00004156,Output Areas and Small Areas,OASA,69,31,13,12,1,0,0,0
64591,E00004157,E00004157,Output Areas and Small Areas,OASA,30,25,19,14,4,1,1,0
64592,E00004158,E00004158,Output Areas and Small Areas,OASA,57,27,17,11,4,5,1,2
64593,E00004159,E00004159,Output Areas and Small Areas,OASA,62,33,24,21,12,6,2,0
64594,E00004160,E00004160,Output Areas and Small Areas,OASA,46,26,15,11,3,2,0,0
64595,E00004161,E00004161,Output Areas and Small Areas,OASA,37,33,13,7,5,1,0,0
64596,E00004162,E00004162,Output Areas and Small Areas,OASA,56,44,16,7,2,3,0,0
64597,E00004163,E00004163,Output Areas and Small Areas,OASA,59,46,24,18,9,2,3,2
64598,E00004164,E00004164,Output Areas and Small Areas,OASA,62,35,28,17,12,4,1,1
64599,E00004165,E00004165,Output Areas and Small Areas,OASA,57,36,17,23,7,4,2,0
64600,E00004166,E00004166,Output Areas and Small Areas,OASA,57,33,17,24,15,7,3,1
64601,E00004167,E00004167,Output Areas and Small Areas,OASA,20,29,15,22,9,3,0,1
64602,E00004168,E00004168,Output Areas and Small Areas,OASA,58,27,15,8,1,0,0,0
64603,E00004169,E00004169,Output Areas and Small Areas,OASA,70,39,21,14,4,1,0,0
64604,E00004172,E00004172,Output Areas and Small Areas,OASA,85,48,13,1,1,0,0,0
64605,E00004173,E00004173,Output Areas and Small Areas,OASA,83,30,8,5,1,0,0,0
64606,E00004174,E00004174,Output Areas and Small Areas,OASA,68,17,16,26,4,0,0,0
64607,E00004175,E00004175,Output Areas and Small Areas,OASA,73,28,13,4,5,0,1,4
64608,E00004177,E00004177,Output Areas and Small Areas,OASA,53,15,3,2,1,0,0,0
64609,E00004179,E00004179,Output Areas and Small Areas,OASA,113,42,17,12,5,1,0,0
64610,E00004180,E00004180,Output Areas and Small Areas,OASA,58,23,15,29,1,1,1,0
64611,E00004181,E00004181,Output Areas and Small Areas,OASA,127,54,15,9,5,0,2,0
64612,E00004182,E00004182,Output Areas and Small Areas,OASA,39,16,12,0,3,2,4,0
64613,E00004183,E00004183,Output Areas and Small Areas,OASA,59,26,7,8,4,1,1,0
64614,E00004184,E00004184,Output Areas and Small Areas,OASA,56,31,10,13,2,0,0,0
64615,E00004185,E00004185,Output Areas and Small Areas,OASA,71,26,18,47,6,3,0,0
64616,E00004187,E00004187,Output Areas and Small Areas,OASA,95,69,27,14,13,3,5,0
64617,E00004188,E00004188,Output Areas and Small Areas,OASA,65,23,14,6,1,0,0,0
64618,E00004189,E00004189,Output Areas and Small Areas,OASA,45,28,10,34,1,0,0,0
64619,E00004190,E00004190,Output Areas and Small Areas,OASA,313,60,6,5,0,0,0,0
64620,E00004193,E00004193,Output Areas and Small Areas,OASA,50,36,13,18,1,1,0,0
64621,E00004194,E00004194,Output Areas and Small Areas,OASA,79,41,15,6,2,0,0,1
64622,E00004195,E00004195,Output Areas and Small Areas,OASA,50,41,9,17,12,4,0,0
64623,E00004196,E00004196,Output Areas and Small Areas,OASA,50,29,5,11,4,1,0,1
64624,E00004197,E00004197,Output Areas and Small Areas,OASA,45,40,16,13,0,2,0,0
64625,E00004198,E00004198,Output Areas and Small Areas,OASA,87,51,22,17,3,2,0,0
64626,E00004199,E00004199,Output Areas and Small Areas,OASA,89,42,20,9,2,0,1,0
64627,E00004200,E00004200,Output Areas and Small Areas,OASA,75,37,11,6,3,2,1,1
64628,E00004201,E00004201,Output Areas and Small Areas,OASA,69,47,10,13,3,2,0,0
64629,E00004202,E00004202,Output Areas and Small Areas,OASA,153,5,0,2,0,0,0,0
64630,E00004203,E00004203,Output Areas and Small Areas,OASA,65,64,18,13,4,0,0,0
64631,E00004204,E00004204,Output Areas and Small Areas,OASA,58,65,17,7,2,0,0,0
64632,E00004205,E00004205,Output Areas and Small Areas,OASA,36,53,29,18,5,3,0,1
64633,E00004206,E00004206,Output Areas and Small Areas,OASA,48,29,23,14,6,3,2,2
64634,E00004207,E00004207,Output Areas and Small Areas,OASA,38,28,17,20,15,8,0,2
64635,E00004208,E00004208,Output Areas and Small Areas,OASA,42,35,17,21,6,2,2,0
64636,E00004209,E00004209,Output Areas and Small Areas,OASA,40,29,18,16,6,3,1,0
64637,E00004210,E00004210,Output Areas and Small Areas,OASA,46,25,18,20,12,3,1,1
64638,E00004211,E00004211,Output Areas and Small Areas,OASA,44,33,15,17,11,1,2,1
64639,E00004212,E00004212,Output Areas and Small Areas,OASA,42,42,20,14,12,2,1,1
64640,E00004213,E00004213,Output Areas and Small Areas,OASA,49,42,30,22,10,8,3,3
64641,E00004214,E00004214,Output Areas and Small Areas,OASA,108,64,33,17,11,7,3,0
64642,E00004215,E00004215,Output Areas and Small Areas,OASA,58,36,15,11,5,3,1,0
