CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F208,F209,F210,F211,F212,F213
,,,,,single,married,registered same-sex civil partnership,separated,divorced,widowed
50,E13000001,Inner London,Counties,CNTY,1409761,821515,17419,93126,192970,102062
60516,E00000001,E00000001,Output Areas and Small Areas,OASA,48,94,6,5,13,7
60517,E00000003,E00000003,Output Areas and Small Areas,OASA,64,122,8,1,8,15
60518,E00000005,E00000005,Output Areas and Small Areas,OASA,139,141,5,10,27,15
60519,E00000007,E00000007,Output Areas and Small Areas,OASA,70,36,0,1,6,0
60520,E00000010,E00000010,Output Areas and Small Areas,OASA,68,12,0,3,12,2
60521,E00000012,E00000012,Output Areas and Small Areas,OASA,77,65,4,10,16,25
60522,E00000013,E00000013,Output Areas and Small Areas,OASA,144,38,4,6,16,4
60523,E00000014,E00000014,Output Areas and Small Areas,OASA,110,15,0,4,18,3
60524,E00000016,E00000016,Output Areas and Small Areas,OASA,99,110,8,6,29,8
60525,E00000017,E00000017,Output Areas and Small Areas,OASA,89,116,4,7,17,9
60526,E00000018,E00000018,Output Areas and Small Areas,OASA,77,92,3,4,22,9
60527,E00000019,E00000019,Output Areas and Small Areas,OASA,57,43,7,0,8,10
60528,E00000020,E00000020,Output Areas and Small Areas,OASA,77,80,2,6,21,14
60529,E00000021,E00000021,Output Areas and Small Areas,OASA,113,97,9,8,22,10
60530,E00000022,E00000022,Output Areas and Small Areas,OASA,100,53,0,2,16,17
60531,E00000023,E00000023,Output Areas and Small Areas,OASA,58,58,2,8,13,19
60532,E00000024,E00000024,Output Areas and Small Areas,OASA,129,67,8,4,19,1
60533,E00000025,E00000025,Output Areas and Small Areas,OASA,143,125,5,14,18,6
60534,E00000026,E00000026,Output Areas and Small Areas,OASA,180,65,0,4,14,2
60535,E00000027,E00000027,Output Areas and Small Areas,OASA,231,95,2,5,16,1
60536,E00000028,E00000028,Output Areas and Small Areas,OASA,90,37,2,1,9,5
60537,E00000029,E00000029,Output Areas and Small Areas,OASA,119,48,3,13,17,8
60538,E00000030,E00000030,Output Areas and Small Areas,OASA,123,49,0,6,21,13
60539,E00000031,E00000031,Output Areas and Small Areas,OASA,57,35,2,4,12,6
60540,E00000032,E00000032,Output Areas and Small Areas,OASA,129,105,2,13,23,13
60541,E00000035,E00000035,Output Areas and Small Areas,OASA,122,80,4,4,9,0
64554,E00004120,E00004120,Output Areas and Small Areas,OASA,131,108,4,3,19,8
64555,E00004121,E00004121,Output Areas and Small Areas,OASA,73,107,2,1,14,9
64556,E00004122,E00004122,Output Areas and Small Areas,OASA,70,89,1,4,10,8
64557,E00004123,E00004123,Output Areas and Small Areas,OASA,87,116,0,3,19,7
64558,E00004124,E00004124,Output Areas and Small Areas,OASA,69,56,4,1,11,6
64559,E00004125,E00004125,Output Areas and Small Areas,OASA,158,52,0,8,25,9
64560,E00004126,E00004126,Output Areas and Small Areas,OASA,110,87,2,7,22,9
64561,E00004127,E00004127,Output Areas and Small Areas,OASA,126,62,7,9,15,8
64562,E00004128,E00004128,Output Areas and Small Areas,OASA,128,93,2,4,18,9
64563,E00004129,E00004129,Output Areas and Small Areas,OASA,128,75,12,3,16,9
64564,E00004130,E00004130,Output Areas and Small Areas,OASA,139,71,4,4,7,6
64565,E00004131,E00004131,Output Areas and Small Areas,OASA,77,124,1,3,15,8
64566,E00004132,E00004132,Output Areas and Small Areas,OASA,88,61,0,2,12,3
64567,E00004133,E00004133,Output Areas and Small Areas,OASA,100,83,1,3,12,9
64568,E00004134,E00004134,Output Areas and Small Areas,OASA,75,72,2,2,14,1
64569,E00004135,E00004135,Output Areas and Small Areas,OASA,87,31,0,6,12,3
64570,E00004136,E00004136,Output Areas and Small Areas,OASA,108,56,4,3,15,4
64571,E00004137,E00004137,Output Areas and Small Areas,OASA,87,108,2,7,22,10
64572,E00004138,E00004138,Output Areas and Small Areas,OASA,83,67,6,7,26,7
64573,E00004139,E00004139,Output Areas and Small Areas,OASA,89,84,0,21,12,3
64574,E00004140,E00004140,Output Areas and Small Areas,OASA,72,70,9,3,17,11
64575,E00004141,E00004141,Output Areas and Small Areas,OASA,91,49,1,8,14,8
64576,E00004142,E00004142,Output Areas and Small Areas,OASA,119,71,0,1,13,6
64577,E00004143,E00004143,Output Areas and Small Areas,OASA,94,79,1,5,19,2
64578,E00004144,E00004144,Output Areas and Small Areas,OASA,74,81,0,2,20,7
